Table 39 Count 1 :	[1519]
Table 3390 Count 29 :	[3762, 1489, 3542, 1291, 866, 1289, 2320, 1714, 2177, 1283, 3481, 3545, 1185, 2643, 2301, 786, 3363, 1123, 2409, 3014, 1538, 913, 2896, 2081, 3390, 3785, 903, 2278, 1559]
Table 3391 Count 24 :	[2811, 3438, 2096, 3853, 2204, 2205, 2402, 2714, 196, 400, 3125, 2258, 3235, 3391, 667, 3725, 2966, 2907, 2965, 960, 3076, 2512, 3409, 3382]
Table 3451 Count 5 :	[1702, 2746, 3495, 3451, 3327]
Table 3469 Count 52 :	[684, 952, 2747, 1369, 277, 559, 9, 1091, 1118, 2051, 2595, 397, 3548, 2875, 652, 2954, 3667, 3425, 2707, 2839, 1390, 431, 1279, 4056, 3306, 3305, 68, 70, 4197, 3877, 617, 1439, 3469, 1031, 4017, 4208, 1180, 1961, 3212, 1585, 328, 448, 1549, 3248, 2770, 3841, 729, 3238, 3117, 605, 967, 241]
Table 3473 Count 24 :	[273, 236, 2678, 2505, 2101, 142, 3020, 3678, 1905, 1195, 1541, 951, 3365, 2531, 3633, 3184, 3930, 943, 3473, 2728, 3999, 4092, 3753, 2182]
Table 3484 Count 18 :	[410, 4198, 2001, 2036, 2536, 371, 2744, 2742, 2804, 3269, 1359, 3300, 2901, 1447, 365, 900, 2872, 2546]
Table 3501 Count 8 :	[2150, 1238, 427, 631, 3935, 1340, 1667, 3152]
Table 3518 Count 32 :	[1019, 2128, 3834, 77, 1297, 79, 895, 2929, 462, 2524, 1888, 1244, 94, 208, 1960, 569, 3193, 230, 1468, 589, 2349, 522, 2774, 105, 2489, 532, 2903, 2764, 1265, 1756, 897, 3518]
Table 3528 Count 7 :	[3704, 340, 1206, 311, 1211, 3093, 3528]
Table 3531 Count 1 :	[861]
Table 3535 Count 11 :	[2442, 820, 3852, 1627, 3151, 3144, 3570, 3510, 2589, 3377, 2601]
Table 3555 Count 7 :	[2456, 1002, 3555, 1630, 1260, 1843, 225]
Table 3570 Count 3 :	[2373, 4079, 2978]
Table 3576 Count 12 :	[4115, 968, 3778, 884, 629, 172, 2538, 2330, 3955, 270, 3380, 2994]
Table 3587 Count 4 :	[1011, 63, 3587, 1808]
Table 3595 Count 27 :	[1913, 3164, 2985, 2812, 2920, 401, 2319, 1596, 3897, 3001, 935, 2063, 2407, 2164, 2645, 3252, 2884, 1059, 2775, 2151, 2423, 3781, 3595, 2574, 2482, 4057, 2639]
Table 3606 Count 19 :	[66, 2802, 282, 111, 2345, 1466, 4074, 3606, 3669, 2498, 1509, 16, 352, 1834, 335, 385, 2329, 809, 1047]
Table 3617 Count 17 :	[1427, 2990, 235, 545, 403, 1193, 1573, 2856, 914, 1926, 4212, 3205, 561, 1753, 1993, 3617, 2513]
Table 3622 Count 25 :	[3167, 1371, 336, 3640, 1982, 3703, 2188, 3622, 1890, 2241, 2716, 3793, 2340, 3492, 3846, 588, 316, 224, 3871, 832, 2145, 660, 1075, 1755, 3577]
Table 3665 Count 31 :	[137, 2915, 3220, 283, 351, 10, 464, 2458, 3423, 220, 2793, 4213, 4086, 2877, 3758, 874, 1827, 516, 3665, 4168, 3843, 640, 44, 591, 45, 3455, 1865, 769, 112, 295, 1994]
Table 3723 Count 84 :	[2750, 2986, 680, 3829, 829, 129, 2861, 2318, 3395, 2045, 3392, 3154, 1479, 2599, 1656, 2879, 2059, 147, 1655, 2816, 3313, 3800, 2226, 1874, 2710, 40, 3802, 167, 915, 2350, 2706, 1391, 1626, 2697, 907, 55, 4058, 780, 56, 1274, 62, 779, 1515, 3096, 2808, 1968, 2129, 3089, 2500, 2923, 2499, 1707, 1014, 4200, 1168, 3357, 3086, 628, 334, 212, 1286, 2242, 3368, 372, 1671, 854, 1461, 2644, 3970, 853, 106, 2408, 2290, 2530, 254, 3233, 2897, 3985, 3588, 123, 604, 361, 3723, 2153]
Table 3733 Count 10 :	[3733, 170, 849, 4114, 3948, 3661, 2054, 1885, 2681, 46]
Table 3766 Count 24 :	[3766, 2820, 3794, 409, 1490, 1310, 3315, 3882, 4139, 4136, 709, 1332, 3124, 4112, 2459, 1119, 1782, 771, 2573, 3921, 808, 3858, 1213, 2453]
Table 3788 Count 13 :	[1670, 1733, 3343, 1396, 2143, 940, 770, 2020, 1418, 3788, 1106, 3519, 2392]
Table 3796 Count 19 :	[517, 3796, 201, 308, 1873, 706, 3737, 14, 15, 357, 2657, 2388, 1560, 22, 2519, 898, 3061, 2427, 930]
Table 3798 Count 16 :	[880, 1819, 4135, 1765, 1343, 3798, 618, 1392, 4140, 2289, 3182, 154, 812, 4121, 3446, 3755]
Table 3808 Count 84 :	[4064, 3825, 1767, 3163, 679, 2193, 12, 1361, 1497, 3540, 3808, 1783, 3266, 1348, 1891, 2026, 815, 3958, 4033, 1880, 2949, 4040, 2348, 2946, 2586, 1744, 533, 291, 1628, 3783, 3444, 2363, 1514, 2268, 1852, 1306, 3458, 2269, 1305, 1155, 609, 2815, 2130, 1299, 3638, 1572, 1300, 3081, 4022, 625, 4016, 1172, 216, 3894, 3060, 3077, 3891, 3063, 3890, 998, 3488, 3129, 3372, 505, 3255, 232, 3847, 3499, 2771, 1672, 379, 4170, 1083, 1203, 1440, 1685, 1085, 490, 1932, 486, 602, 1455, 3244, 1793]
Table 3817 Count 64 :	[2615, 3284, 2751, 3287, 2855, 3709, 3396, 4146, 2598, 2734, 4144, 2864, 3145, 3276, 3817, 2110, 3320, 3562, 2944, 4051, 3452, 2566, 48, 2971, 3179, 1868, 3174, 2481, 2485, 1998, 4060, 2367, 1379, 2814, 2504, 1167, 1832, 2249, 2522, 2248, 1835, 3759, 92, 4029, 1829, 1043, 3079, 1962, 1338, 1941, 3258, 1056, 3385, 1200, 3386, 3718, 3039, 1920, 2428, 3024, 3241, 1931, 2275, 2638]
Table 3831 Count 2 :	[3831, 3907]
Table 3837 Count 4 :	[1833, 3819, 1230, 2432]
Table 3842 Count 15 :	[2374, 3614, 1156, 278, 1737, 2383, 3842, 3424, 3599, 3627, 3002, 2450, 814, 1862, 2691]
Table 3855 Count 6 :	[3855, 3747, 3797, 1092, 432, 3334]
Table 3873 Count 1 :	[261]
